sample_index,image_id,wf_minus_mean_margin_norm,wf_minus_mean_target_drop_raw,wf_minus_mean_target_drop_norm,wf_minus_mean_bbox_precision,wf_minus_max_0_1_margin_norm,wf_minus_max_0_1_target_drop_raw,wf_minus_max_0_1_target_drop_norm,wf_minus_max_0_1_bbox_precision
191,368367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,219261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,247014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,385036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,317254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,55118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,392892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,432898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,190362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,555298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,540187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,399851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,485483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,442809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,150533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,419350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,466901,0.46045494079589844,-0.20291215181350708,-0.20636612176895142,-0.5999999940395355,0.0,0.0,0.0,0.0
208,399655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,199602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,334416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,314430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,358149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,316648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,486254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,110999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,557977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,170007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,291528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,9668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
