sample_index,image_id,wf_minus_mean_margin_norm,wf_minus_mean_target_drop_raw,wf_minus_mean_target_drop_norm,wf_minus_mean_bbox_precision
155,7752,0.11470100283622747,-0.04403442144393921,-0.04478397965431219,-0.1428571492433548
156,8785,0.0,0.0,0.0,0.0
157,5931,0.0,0.0,0.0,0.0
158,7828,0.0,0.0,0.0,0.0
159,727,0.0,0.0,0.0,0.0
160,2168,0.0,0.0,0.0,0.0
161,8034,0.0,0.0,0.0,0.0
162,538,0.0,0.0,0.0,0.0
163,8543,0.03322704136371621,-0.14482027292251592,-0.147163674235344,0.0
164,8152,0.0,0.0,0.0,0.0
165,8245,0.0,0.0,0.0,0.0
166,978,0.0,0.0,0.0,0.0
167,9804,0.0,0.0,0.0,0.0
168,7700,0.0,0.0,0.0,0.0
169,8400,0.0,0.0,0.0,0.0
170,7937,0.0,0.0,0.0,0.0
171,7573,0.0,0.0,0.0,0.0
172,2582,0.0,0.0,0.0,0.0
173,1169,0.0,0.0,0.0,0.0
174,6312,0.0,0.0,0.0,0.0
175,8264,0.0,0.0,0.0,0.0
176,85,0.0,0.0,0.0,0.0
177,6050,0.0,0.0,0.0,0.0
178,7967,0.0,0.0,0.0,0.0
179,5339,0.0,0.0,0.0,0.0
180,6795,0.0,0.0,0.0,0.0
181,1626,0.0,0.0,0.0,0.0
182,7423,0.0,0.0,0.0,0.0
183,8875,0.0,0.0,0.0,0.0
184,6608,0.0,0.0,0.0,0.0
185,6313,0.0,0.0,0.0,0.0
186,5180,0.0,0.0,0.0,0.0
187,2885,0.0,0.0,0.0,0.0
188,4342,0.0,0.0,0.0,0.0
189,4324,0.0,0.0,0.0,0.0
190,2137,0.0,0.0,0.0,0.0
191,6897,0.0,0.0,0.0,0.0
192,4925,0.0,0.0,0.0,0.0
193,649,0.0,0.0,0.0,0.0
194,5333,0.0,0.0,0.0,0.0
195,8864,0.2719928026199341,-0.3780634254217148,-0.3841810077428818,0.25
196,5777,0.0,0.0,0.0,0.0
197,2617,0.0,0.0,0.0,0.0
198,3221,0.0,0.0,0.0,0.0
199,819,0.0,0.0,0.0,0.0
200,8745,0.0,0.0,0.0,0.0
201,1646,0.0,0.0,0.0,0.0
202,6144,0.0,0.0,0.0,0.0
203,497,0.0,0.0,0.0,0.0
204,7625,0.0,0.0,0.0,0.0
205,5758,0.0,0.0,0.0,0.0
206,5721,0.0,0.0,0.0,0.0
207,6093,0.0,0.0,0.0,0.0
208,9683,0.0,0.0,0.0,0.0
209,8895,0.0,0.0,0.0,0.0
210,2389,0.0,0.0,0.0,0.0
211,7862,0.0,0.0,0.0,0.0
212,9854,0.0,0.0,0.0,0.0
213,3902,0.0,0.0,0.0,0.0
214,5546,0.0,0.0,0.0,0.0
215,634,0.0,0.0,0.0,0.0
216,7835,0.0,0.0,0.0,0.0
217,658,0.0,0.0,0.0,0.0
218,3222,0.0,0.0,0.0,0.0
219,6620,0.0,0.0,0.0,0.0
220,8167,0.0,0.0,0.0,0.0
221,3512,0.0,0.0,0.0,0.0
222,3794,0.0,0.0,0.0,0.0
223,7228,0.0,0.0,0.0,0.0
224,5412,0.0,0.0,0.0,0.0
225,5848,0.0,0.0,0.0,0.0
226,2602,0.0,0.0,0.0,0.0
227,3025,0.0,0.0,0.0,0.0
228,6581,0.0,0.0,0.0,0.0
229,7598,0.0,0.0,0.0,0.0
230,3123,0.0,0.0,0.0,0.0
231,8196,0.0,0.0,0.0,0.0
232,3884,0.0,0.0,0.0,0.0
233,9844,0.0,0.0,0.0,0.0
234,5491,0.0,0.0,0.0,0.0
235,1564,0.0,0.0,0.0,0.0
236,922,0.0,0.0,0.0,0.0
237,3251,0.0,0.0,0.0,0.0
238,8897,0.0,0.0,0.0,0.0
239,2408,0.0,0.0,0.0,0.0
240,277,0.0,0.0,0.0,0.0
241,9957,0.0,0.0,0.0,0.0
242,6435,0.0,0.0,0.0,0.0
243,3762,0.0,0.0,0.0,0.0
244,2081,0.0,0.0,0.0,0.0
245,8590,0.0,0.0,0.0,0.0
246,4781,0.0,0.0,0.0,0.0
247,1419,0.0,0.0,0.0,0.0
248,8128,0.0,0.0,0.0,0.0
249,7341,0.0,0.0,0.0,0.0
250,6145,0.34259611368179327,0.0469077862799167,0.04770624637603759,1.0
251,5125,0.0,0.0,0.0,0.0
252,9361,0.0,0.0,0.0,0.0
253,5767,0.0,0.0,0.0,0.0
254,2532,0.0,0.0,0.0,0.0
255,151,0.0,0.0,0.0,0.0
256,5754,0.0,0.0,0.0,0.0
257,7195,0.0,0.0,0.0,0.0
258,7179,0.0,0.0,0.0,0.0
259,2692,0.0,0.0,0.0,0.0
260,2429,0.0,0.0,0.0,0.0
261,4666,0.0,0.0,0.0,0.0
262,2235,0.0,0.0,0.0,0.0
263,9744,0.0,0.0,0.0,0.0
264,1508,0.0,0.0,0.0,0.0
265,7989,0.0,0.0,0.0,0.0
266,8147,0.0,0.0,0.0,0.0
267,8516,0.0,0.0,0.0,0.0
268,2673,0.0,0.0,0.0,0.0
269,7903,0.0,0.0,0.0,0.0
270,2072,0.408681258559227,-0.0308911204338074,-0.03125083446502688,0.09090906381607056
271,7335,0.0,0.0,0.0,0.0
272,9171,0.0,0.0,0.0,0.0
273,1302,0.0,0.0,0.0,0.0
274,1916,0.0,0.0,0.0,0.0
275,5570,0.0,0.0,0.0,0.0
276,6745,0.7349635362625123,0.18956195563077932,0.1923585161566734,0.800000011920929
277,1267,0.0,0.0,0.0,0.0
278,1883,0.0,0.0,0.0,0.0
279,3736,0.0,0.0,0.0,0.0
280,4456,0.0,0.0,0.0,0.0
281,3723,0.0,0.0,0.0,0.0
282,8788,0.0,0.0,0.0,0.0
283,8077,0.0,0.0,0.0,0.0
284,4738,0.0,0.0,0.0,0.0
285,5724,0.0,0.0,0.0,0.0
286,7651,0.0,0.0,0.0,0.0
287,8954,0.0,0.0,0.0,0.0
288,2731,0.0,0.0,0.0,0.0
289,567,0.0,0.0,0.0,0.0
290,1585,0.0,0.0,0.0,0.0
291,5272,0.0,0.0,0.0,0.0
292,3851,0.0,0.0,0.0,0.0
293,2792,0.0,0.0,0.0,0.0
294,529,0.0,0.0,0.0,0.0
295,1540,0.0,0.0,0.0,0.0
296,9328,0.0,0.0,0.0,0.0
297,1905,0.0,0.0,0.0,0.0
298,570,0.0,0.0,0.0,0.0
299,3322,0.0,0.0,0.0,0.0
300,3012,0.0,0.0,0.0,0.0
301,8708,0.0,0.0,0.0,0.0
302,414,0.0,0.0,0.0,0.0
303,247,0.15618884563446045,0.0264036413282156,0.026853081770241302,0.1428571492433548
304,3922,0.0,0.0,0.0,0.0
305,8945,0.0,0.0,0.0,0.0
306,5849,0.0,0.0,0.0,0.0
307,8689,0.0,0.0,0.0,0.0
308,9787,0.0,0.0,0.0,0.0
309,718,0.0,0.0,0.0,0.0
310,1856,0.0,0.0,0.0,0.0
311,5095,0.0,0.0,0.0,0.0
312,8045,0.0,0.0,0.0,0.0
313,3928,0.0,0.0,0.0,0.0
314,4072,0.0,0.0,0.0,0.0
315,7623,0.0,0.0,0.0,0.0
316,6816,0.0,0.0,0.0,0.0
317,9677,0.0,0.0,0.0,0.0
318,1502,0.0,0.0,0.0,0.0
319,3399,0.0,0.0,0.0,0.0
320,2650,0.0,0.0,0.0,0.0
321,467,0.0,0.0,0.0,0.0
322,6002,0.0,0.0,0.0,0.0
323,6068,0.0,0.0,0.0,0.0
324,2573,0.0,0.0,0.0,0.0
325,5087,0.0,0.0,0.0,0.0
326,6796,0.0,0.0,0.0,0.0
327,8869,0.0,0.0,0.0,0.0
328,5882,0.0,0.0,0.0,0.0
329,7367,0.0,0.0,0.0,0.0
330,7725,0.0,0.0,0.0,0.0
331,397,0.0,0.0,0.0,0.0
332,3910,0.0,0.0,0.0,0.0
333,6591,0.0,0.0,0.0,0.0
334,2773,0.0,0.0,0.0,0.0
335,1794,0.0,0.0,0.0,0.0
336,9435,0.0,0.0,0.0,0.0
337,25,0.0,0.0,0.0,0.0
338,1105,0.0,0.0,0.0,0.0
339,956,0.0,0.0,0.0,0.0
340,299,0.0,0.0,0.0,0.0
341,6287,0.0,0.0,0.0,0.0
342,5774,0.0,0.0,0.0,0.0
343,3501,0.0,0.0,0.0,0.0
344,7382,0.0,0.0,0.0,0.0
345,2614,0.0,0.0,0.0,0.0
346,9689,0.0,0.0,0.0,0.0
347,3590,0.0,0.0,0.0,0.0
348,3418,0.0,0.0,0.0,0.0
349,1781,0.0,0.0,0.0,0.0
350,825,0.0,0.0,0.0,0.0
351,9592,0.0,0.0,0.0,0.0
352,4177,0.0,0.0,0.0,0.0
353,144,0.0,0.0,0.0,0.0
354,6237,0.0,0.0,0.0,0.0
355,1549,0.0,0.0,0.0,0.0
356,2823,0.0,0.0,0.0,0.0
357,9320,0.0,0.0,0.0,0.0
358,5276,0.0,0.0,0.0,0.0
359,1757,0.0,0.0,0.0,0.0
360,2416,0.0,0.0,0.0,0.0
361,2245,0.0,0.0,0.0,0.0
362,6405,0.0,0.0,0.0,0.0
363,434,0.0,0.0,0.0,0.0
364,2740,0.0,0.0,0.0,0.0
365,7338,0.0,0.0,0.0,0.0
366,5558,0.0,0.0,0.0,0.0
367,719,0.0,0.0,0.0,0.0
368,9563,0.0,0.0,0.0,0.0
369,2654,0.0,0.0,0.0,0.0
370,8380,0.0,0.0,0.0,0.0
371,3733,0.0,0.0,0.0,0.0
372,1850,0.0,0.0,0.0,0.0
373,6288,0.0,0.0,0.0,0.0
374,4712,0.0,0.0,0.0,0.0
375,1696,0.0,0.0,0.0,0.0
376,4704,0.0,0.0,0.0,0.0
377,9046,0.0,0.0,0.0,0.0
378,6561,0.0,0.0,0.0,0.0
379,8114,0.0,0.0,0.0,0.0
380,4717,0.0,0.0,0.0,0.0
381,6014,0.0,0.0,0.0,0.0
382,8027,0.0,0.0,0.0,0.0
383,517,0.0,0.0,0.0,0.0
384,9651,0.0,0.0,0.0,0.0
385,3955,0.0,0.0,0.0,0.0
386,4763,0.0,0.0,0.0,0.0
387,3141,0.0,0.0,0.0,0.0
388,9397,0.0,0.0,0.0,0.0
389,5937,0.0,0.0,0.0,0.0
