dataset,model,protocol,method,epsilon,n_images,switch_count,switch_rate,delta_pmax_pm_raw,delta_pmax_pm_raw_ci_low,delta_pmax_pm_raw_ci_high,delta_pmax_pm_norm,delta_pmax_pm_norm_ci_low,delta_pmax_pm_norm_ci_high,delta_pmax_agg_raw,delta_pmax_agg_raw_ci_low,delta_pmax_agg_raw_ci_high,delta_pmax_agg_norm,delta_pmax_agg_norm_ci_low,delta_pmax_agg_norm_ci_high,delta_target_response_raw,delta_target_response_raw_ci_low,delta_target_response_raw_ci_high,delta_target_response_agg_norm,delta_target_response_agg_norm_ci_low,delta_target_response_agg_norm_ci_high,delta_bbox_precision,delta_bbox_precision_ci_low,delta_bbox_precision_ci_high,delta_bbox_recall,delta_bbox_recall_ci_low,delta_bbox_recall_ci_high,delta_bbox_iou,delta_bbox_iou_ci_low,delta_bbox_iou_ci_high,delta_target_minus_distractor_bbox,delta_target_minus_distractor_bbox_ci_low,delta_target_minus_distractor_bbox_ci_high,switch_rate_boot,switch_rate_ci_low,switch_rate_ci_high,p_delta_pmax_agg_norm_positive_switched,p_delta_pmax_agg_norm_positive_switched_ci_low,p_delta_pmax_agg_norm_positive_switched_ci_high
coco,openai_b16,cross_foil_pooled,conditional_uniform_non_cci,0.02,27708,1303,0.04702612963764977,4.6161297492120226e-05,-0.0019325414296573749,0.0021789364851245285,4.690818483715003e-05,-0.0019732578066167955,0.0021982829831614223,4.307161939913296e-05,-0.001992146568893963,0.0021461158161352667,4.279777362045154e-05,-0.001993936215806643,0.0020590041035184747,-0.0008598615183103464,-0.0013619510957549538,-0.00031701891551970987,-0.0008764134602864481,-0.001399422033884158,-0.00030789075984858423,9.499090754222361e-06,-0.0011331923705498403,0.0011896644974777133,7.69461058343522e-05,-0.00043194083228235454,0.0006285880794495884,6.693424362729096e-05,-0.0004062246475585323,0.000523467296361053,0.0004482597816539663,-0.0008578683318088813,0.0018658900415099945,0.04702612963764977,0.044389706943842935,0.049300743467590585,0.5072908672294705,0.4802199492666265,0.5342151452189676
coco,openai_b16,cross_foil_pooled,target_runner_up,0.02,27708,1303,0.04702612963764977,8.17122065039637e-05,-0.0022194406862793576,0.0021778179113588186,8.275937029443296e-05,-0.00201658927985653,0.002214422327374785,7.201409806556665e-05,-0.0020315924136747867,0.002277407792927449,7.170127724181942e-05,-0.002021959324254346,0.0022531613914284726,-0.0008329795868381228,-0.001347484031732077,-0.0003131429945938725,-0.0008490272063690523,-0.0014098634784961072,-0.0002966231099615909,-7.447408734860316e-05,-0.0012603699084782498,0.0010827725529407772,4.340303045590128e-05,-0.00046717722591558826,0.0005929329244071002,4.163706358080997e-05,-0.0004160041283378263,0.000492801121035136,0.00044719054144447685,-0.0008726479454365627,0.0017743397092584334,0.04702612963764977,0.04410188393243829,0.049660747798469754,0.5103607060629317,0.48477763987210526,0.5384644766997708
coco,openai_b32,full_foil,rtp,0.02,27708,613,0.02212357441894038,0.010636393613611144,0.009264884121320108,0.012109659288427518,0.01080739815997197,0.009508610244068039,0.012135642090534709,0.010606085124619729,0.009305962447504182,0.01197601819934452,0.010777263596051452,0.00945048092172779,0.012150488317441482,-0.00010116436203517149,-0.00045642782879506814,0.0002531482665792704,-0.00010315879449941806,-0.0004615311478248602,0.0002790474624711699,-0.0008006720303391895,-0.00164646643751545,2.9852774812156757e-05,-0.0005306018611131144,-0.0009119687753761331,-0.00018286525351452948,-0.00048435549545979017,-0.0007721278853091407,-0.00020141228674039403,0.0005189978608411595,-0.0005001636998076761,0.0014971900492812106,0.02212357441894038,0.020355132091814637,0.02378464703334777,0.866231647634584,0.8398042693552402,0.8938712833934592
coco,openai_b32,full_foil,mean_foil_feasible,0.02,27708,626,0.022592752995524757,0.0014204943064679571,-0.00019027241795493592,0.002861583609347625,0.0014432142093454064,-0.00025999132326842,0.002983286580625786,0.0014552618336791559,-0.00019907433975389205,0.003018382950748176,0.0014798634541340397,-3.6583128975619205e-05,0.0030394806086788285,-0.0002982209590873549,-0.0006686849696015531,5.3161765175170405e-05,-0.0003039820090463312,-0.0006787173760286516,7.702773821455006e-05,0.0026950235690650433,0.0018708932910017064,0.003620383986830898,0.001356842539104418,0.0009686095860860204,0.0017412711129880824,0.0011449595113684316,0.0008388368764313796,0.0014678883319121667,0.003049748739887073,0.001950694820861592,0.004036568584574868,0.022592752995524757,0.020967771040854625,0.024289014003175978,0.5543130990415336,0.516221360170555,0.59344300597518
coco,openai_b32,full_foil,weak_max_scalarization,0.02,27708,527,0.01901977768153602,0.010394619386763088,0.00907039675821841,0.011897336703319572,0.010562020524971145,0.009233389837068427,0.011882933015465665,0.010382758677694878,0.009095732149559943,0.011744091018422676,0.01055049848544762,0.009183696215279456,0.011989192811787203,4.0941401775236805e-06,-0.000314353134972297,0.0003491795771899281,3.704126851995175e-06,-0.0003405666440781501,0.00036125852117033415,-0.0008108640662999563,-0.0016185128251104896,-5.7706580912211956e-05,-0.0005073468568438332,-0.0008624593865247962,-0.0001471972580174733,-0.00047344023095036413,-0.0007747761975729631,-0.0001974794127860929,0.00036367552329708095,-0.0005531717585752469,0.001247628578085406,0.01901977768153602,0.017431788653096577,0.02060776670997546,0.9070208728652751,0.8806162709367303,0.9308521449576198
coco,openai_b32,full_foil,uniform_feasible,0.02,27708,635,0.022917568933160097,-0.0023967611884111568,-0.0039423853611096245,-0.0009358825100895281,-0.0024322627559635102,-0.004043437005794708,-0.0007815022952183269,-0.0025113100341996445,-0.004135436416352064,-0.0009576420811229567,-0.0025480759744877534,-0.004136868026055653,-0.0009156909996598849,-0.0004627077973160357,-0.000826569455186804,-7.459888169688841e-05,-0.0004702456426774055,-0.0008220674461434059,-0.0001310757657054787,-0.0006559322254309362,-0.0014552495479459285,0.0002792523721871264,-3.1893099585469246e-05,-0.0004188935134190282,0.0003717975539529577,-7.286678772272386e-05,-0.0003762502612782486,0.00022354274129316126,-0.0003617364270698511,-0.0014640852529780016,0.000733885385401608,0.022917568933160097,0.021184314999278187,0.02468601126028584,0.46614173228346456,0.42789875025031404,0.5047570305363435
coco,openai_b32,full_foil,conditional_uniform_non_cci,0.02,27708,1218,0.043958423559982675,-0.002053818118079704,-0.004294990993127573,-6.596302705809409e-05,-0.0020806563483925567,-0.004172690919368893,0.00014460771123354156,-0.0022214736297933944,-0.004264917419865547,-0.00013300060389526773,-0.0022490453639587914,-0.004433136648065124,-0.0001139122208986239,-0.0003796871176262903,-0.0008695353725047025,0.00013695992404807477,-0.0003856337431757226,-0.0008891562376792556,0.00013224491950802498,-0.0004250541736404366,-0.0015873650144889845,0.0008420448835628927,2.444154261869351e-05,-0.0004933701389744285,0.0005245878627247772,-5.8342305211210036e-05,-0.00048010128940497094,0.00039281866633800573,0.0001539027145978744,-0.0011998057058706336,0.0016458914180696174,0.043958423559982675,0.04161162841056735,0.046484769741590874,0.4827586206896552,0.45564101855943434,0.5094826952642388
coco,openai_b32,full_foil,target_runner_up,0.02,27708,1218,0.043958423559982675,-0.0021102605997893424,-0.004447798580597626,1.9940440195376334e-05,-0.0021380233918105876,-0.004345505128214169,-8.761231745839529e-05,-0.0022828192759247684,-0.004530415840338502,-0.00014515954740082325,-0.0023115492740443688,-0.004563144939520497,-0.00010306640879373724,-0.0003645608330505772,-0.0008591869800133099,0.00012089904399754361,-0.0003703273192766784,-0.00087256222580088,0.0001097634275298308,-0.00042113263442223226,-0.001536839335342228,0.0008152943970604191,7.113339574975765e-06,-0.00048492184113199704,0.0005698550463311762,-5.998994804849711e-05,-0.0005003839259340526,0.000365502023508787,0.00012112877807772733,-0.0013501570875668874,0.0016088572636320578,0.043958423559982675,0.041432077378374475,0.04644958134834704,0.4852216748768473,0.457514601585315,0.5130754475703324
coco,openai_b32,cross_foil_pooled,rtp,0.02,27708,904,0.03262595640248304,0.00724090562976453,0.006113415824819058,0.00835690940815258,0.007357314246706695,0.006277323477868879,0.008545004489284183,0.00716371978280174,0.006109495183170374,0.008274805950745569,0.007278550708648804,0.006171752193612958,0.008531008208556663,-6.508296434993012e-05,-0.0003893545982932121,0.00027099807305517004,-6.661304025166408e-05,-0.00038155047933301537,0.000277010685017154,-0.00044283687482598184,-0.0011827642520278673,0.0003257606735668923,-0.0002925715442747957,-0.0006059959137549217,1.3399479324621886e-05,-0.0002932870773452722,-0.0005707356080802119,-4.512346645562981e-05,0.0007066987148605112,-0.0002153563688416517,0.0017070268488748842,0.03262595640248304,0.0304966074779847,0.03471921466724412,0.5851769911504425,0.5527664113075254,0.6175589003126309
coco,openai_b32,cross_foil_pooled,mean_foil_feasible,0.02,27708,759,0.027392810740580337,0.0019250224848985536,0.0007139721803328645,0.003064483997855737,0.0019548447563387523,0.0007460609005050721,0.003237535630400336,0.0019961113863811645,0.0007343552200263171,0.0031430780727599466,0.002027626840317113,0.0008416739917980447,0.003272914233891035,-0.0002800781117609712,-0.0006358500508522016,5.8353431500518884e-05,-0.00028548359793301045,-0.0006631392577188192,7.260993090435701e-05,0.002670889392565124,0.0017595281962292924,0.003526177794039087,0.001352655363912673,0.001019623315697152,0.0017388550270002682,0.0011390498639478157,0.0008627464357920943,0.0014444159604504543,0.0030557467940120226,0.0020839098814267516,0.004047433913341257,0.027392810740580337,0.025551284827486646,0.02945088061209759,0.5428194993412385,0.5079750777734571,0.5779825849899792
coco,openai_b32,cross_foil_pooled,weak_max_scalarization,0.02,27708,809,0.02919734372744334,0.007092586586144013,0.0060103481563568584,0.008221038324327669,0.007205876140744512,0.006089547804858809,0.008341718989142799,0.007023772307847825,0.005948042989250893,0.008111144576731823,0.007135523581447753,0.006086548977032147,0.008242344620569957,-2.1783670582312848e-05,-0.0003235793568953314,0.00026297037273815795,-2.2632982277235312e-05,-0.0003450435112839412,0.00029097182037982067,-0.00039995842591449585,-0.0011681346923113664,0.00029490228964104714,-0.00027967357472233985,-0.0005771133033248781,1.4404625835835547e-05,-0.0002836149084801198,-0.0005306980829773658,-3.7602836097109594e-05,0.0005901120410321937,-0.0002751538512139215,0.0014475104829598034,0.02919734372744334,0.0272484481016313,0.03125451133246716,0.6143386897404203,0.5815946884081369,0.6466163644728122
coco,openai_b32,cross_foil_pooled,uniform_feasible,0.02,27708,1218,0.043958423559982675,-0.0005450432046301161,-0.0013622823173074056,0.00032242112741843066,-0.0005516059312017172,-0.0014137066099245616,0.00039040981672049574,-0.0005799048739779363,-0.001384278143577038,0.0003452461241009405,-0.0005871223780048786,-0.0015044755528682875,0.00034610575783169934,-0.00017933650074851797,-0.0004620193755603413,7.501564019913454e-05,-0.00018222013114359975,-0.00046110426082508906,8.421976446943689e-05,-0.00022485740362462297,-0.0008710260150758285,0.00037634782061227894,-3.0549692362997728e-06,-0.0002879839844073942,0.00025773231412202314,-3.856396694107036e-05,-0.00025197507812688586,0.00016766606466820085,9.090080736047456e-07,-0.0007911563575696678,0.0008117060556658808,0.043958423559982675,0.041540349357586256,0.0464856720080843,0.493431855500821,0.4666652397260274,0.5205482268385003
coco,openai_b32,cross_foil_pooled,conditional_uniform_non_cci,0.02,27708,1218,0.043958423559982675,-0.0012141534233154805,-0.002838163824749603,0.0005536742172259364,-0.0012294656293719136,-0.0030137999025862242,0.0002701160998998349,-0.0012848967231746684,-0.0029507050224247666,0.000542439385175863,-0.0013010984745697024,-0.0030163945507581964,0.0003920627627091871,-0.00038988374722967857,-0.0008939759710594039,0.0001231007387393056,-0.0003960482154056728,-0.0009263897270869043,0.00012106039682245814,-0.0004365943313477661,-0.0015913726709691157,0.0006830770201907522,2.1423377620228098e-05,-0.0005136708936152317,0.000531924110569341,-5.9720286761131494e-05,-0.0005125537739056552,0.0003699089927128887,0.00015469628647200067,-0.0014084111890496132,0.0016632666155367419,0.043958423559982675,0.041286812472932005,0.046557853327558824,0.4876847290640394,0.45962089140220225,0.5164803503090962
coco,openai_b32,cross_foil_pooled,target_runner_up,0.02,27708,1218,0.043958423559982675,-0.0013558983111223925,-0.003010331880484609,0.0003988983391357684,-0.001373357315570709,-0.003312857274676836,0.00029612667536454225,-0.0014223850855655104,-0.003296679651759132,0.0003441832094080965,-0.0014406647012320595,-0.0031128956544869872,0.00020404613955472204,-0.0003645608330505771,-0.0009011485810035391,0.0001230726352117805,-0.00037032731927667806,-0.0008818794404509315,0.00011934893383596778,-0.00042113263442223204,-0.0016175845404428713,0.0007946424704565959,7.113339574975845e-06,-0.00047639434411754955,0.0005039264022787658,-5.9989948048497174e-05,-0.00047342368801987826,0.00035620755697084053,0.00012112877807772729,-0.0014016368883134642,0.0015514046107411538,0.043958423559982675,0.04164862133679804,0.04644958134834704,0.4909688013136289,0.4652320667392941,0.5193297553970725
voc2007,openai_b16,full_foil,rtp,0.02,1943,50,0.02573340195573855,0.011623075096631115,0.006635007252850188,0.0182570694210972,0.01186817748874577,0.0068287580128191284,0.018888225604335958,0.011542689611876936,0.006437137095991961,0.017608463421662706,0.011789467037006139,0.006724461131781672,0.018069326077472633,-0.0008307543653335091,-0.002190176338964917,0.0005614921644345881,-0.0008450994451308038,-0.0022760491428129794,0.0004119751180022846,-0.0033965406032379413,-0.006645840036201896,-0.00043756957786090427,-0.0005442844742424292,-0.0016772666911361608,0.0007618522502371278,-0.0008168628837872768,-0.0017981314082580416,2.78562204583855e-05,-0.002281119623380303,-0.00519113055402102,0.0004164575148126275,0.02573340195573855,0.019042717447246525,0.032938754503345345,0.92,0.8333333333333334,0.9818181818181818
voc2007,openai_b16,full_foil,mean_foil_feasible,0.02,1943,47,0.024189397838394237,0.007497995355204681,0.002227581118258148,0.01376854498683296,0.007647220302471375,0.0020458987787385333,0.01410301536686248,0.007167875300653797,0.0015871986052675992,0.014281431152113052,0.007309123575004467,0.00196819672545648,0.013332620480246277,-0.00011887555795905925,-0.0014343958783719505,0.0012127145154552327,-0.00012263812002355398,-0.0013305060007027213,0.0012188489760146949,0.0010906926514068825,-0.0018070979563836482,0.004182447099556063,0.0015087454175091203,0.00023734281326067905,0.0029595571798414666,0.001039555596939917,3.413169707116662e-05,0.002096354028893536,0.0006600340243845472,-0.0025750359905149273,0.0037973362893553527,0.024189397838394237,0.018515182707153886,0.03088008234688626,0.7021276595744681,0.5599705882352942,0.828588850174216
voc2007,openai_b16,full_foil,weak_max_scalarization,0.02,1943,45,0.023160061760164694,0.011149614705688335,0.006372806249601968,0.017239662682397353,0.011386943547132425,0.00627145734728422,0.017640497997997606,0.011043366629232968,0.0059987358007970925,0.01720997718966238,0.011282698194934734,0.006308723398662962,0.01764092219280609,-0.0009959032382802656,-0.00232331170345193,0.0002391053497890989,-0.0010129629566586278,-0.0024803622443899088,0.0002674526577420601,-0.0034061081501189213,-0.006590185690003169,-0.0004009892327396705,-0.0006018370927835759,-0.0016868180483828135,0.0007975537851632111,-0.0008827788576487856,-0.0017906861502223286,2.368951065757578e-06,-0.0020703036765890607,-0.004935493091785692,0.0007215755408275336,0.023160061760164694,0.016469377251672673,0.030365414307771486,0.9333333333333333,0.8490258408531584,1.0
