table,dataset_model,key,old_value,new_value,new_minus_old
paired,voc2007_openai_b32,wf_minus_max_0_1/target_drop_norm/estimate,-1.7602178802579295e-06,-1.7605879168134954e-06,-3.700365555659133e-10
paired,voc2007_openai_b32,wf_minus_max_0_1/target_drop_norm/ci_low,-0.0003415624516653,-0.0003415623423799,1.092854000112227e-10
paired,voc2007_openai_b32,wf_minus_max_0_1/target_drop_norm/ci_high,0.0003672313815096,0.0003633593399378,-3.872041571799964e-06
paired,voc2007_openai_b32,wf_minus_max_0_1/bbox_precision/estimate,-0.0001807465221362,-0.0001807465221362,0.0
paired,voc2007_openai_b32,wf_minus_max_0_1/bbox_precision/ci_low,-0.0006218905677147,-0.0006218905677147,0.0
paired,voc2007_openai_b32,wf_minus_max_0_1/bbox_precision/ci_high,0.0001286670097786,0.0001286670097786,0.0
screening_cci,coco_openai_b16,screen_pass_count,17726.0,17726.0,0.0
screening_cci,coco_openai_b16,failure_count,20514.0,20514.0,0.0
screening_cci,coco_openai_b16,joint_failure_count,11410.0,11410.0,0.0
screening_cci,coco_openai_b16,screen_pass_rate,0.6397430345026707,0.6397430345026707,0.0
screening_cci,coco_openai_b16,failure_rate,0.7403637938501516,0.7403637938501516,0.0
screening_cci,coco_openai_b16,joint_failure_rate,0.4117944276021366,0.4117944276021366,0.0
screening_cci,coco_openai_b16,failure_given_screen_pass,0.6436872390838316,0.6436872390838316,0.0
screening_cci,coco_openai_b32,screen_pass_count,17847.0,17848.0,1.0
screening_cci,coco_openai_b32,failure_count,20479.0,20479.0,0.0
screening_cci,coco_openai_b32,joint_failure_count,11561.0,11562.0,1.0
screening_cci,coco_openai_b32,screen_pass_rate,0.6441100043308792,0.6441460949906165,3.609065973730896e-05
screening_cci,coco_openai_b32,failure_rate,0.7391006207593475,0.7391006207593475,0.0
screening_cci,coco_openai_b32,joint_failure_rate,0.4172441172224628,0.4172802078822001,3.609065973730896e-05
screening_cci,coco_openai_b32,failure_given_screen_pass,0.6477839412786462,0.6478036754818467,1.973420320044994e-05
screening_cci,voc2007_openai_b16,screen_pass_count,1209.0,1209.0,0.0
screening_cci,voc2007_openai_b16,failure_count,1131.0,1131.0,0.0
screening_cci,voc2007_openai_b16,joint_failure_count,511.0,511.0,0.0
screening_cci,voc2007_openai_b16,screen_pass_rate,0.6222336592897582,0.6222336592897582,0.0
screening_cci,voc2007_openai_b16,failure_rate,0.582089552238806,0.582089552238806,0.0
screening_cci,voc2007_openai_b16,joint_failure_rate,0.2629953679876479,0.2629953679876479,0.0
screening_cci,voc2007_openai_b16,failure_given_screen_pass,0.4226633581472291,0.4226633581472291,0.0
screening_cci,voc2007_openai_b32,screen_pass_count,1227.0,1227.0,0.0
screening_cci,voc2007_openai_b32,failure_count,1087.0,1086.0,-1.0
screening_cci,voc2007_openai_b32,joint_failure_count,505.0,504.0,-1.0
screening_cci,voc2007_openai_b32,screen_pass_rate,0.631497683993824,0.631497683993824,0.0
screening_cci,voc2007_openai_b32,failure_rate,0.5594441585177561,0.5589294904786413,-0.0005146680391148184
screening_cci,voc2007_openai_b32,joint_failure_rate,0.2599073597529593,0.2593926917138445,-0.0005146680391148184
screening_cci,voc2007_openai_b32,failure_given_screen_pass,0.4115729421352893,0.4107579462102689,-0.0008149959250203787
switch_counts,coco_openai_b16,switch_count,663.0,663.0,0.0
switch_counts,coco_openai_b16,delta_margin_improvement_count,611.0,611.0,0.0
switch_counts,coco_openai_b16,sign_repair_count,42.0,42.0,0.0
switch_counts,coco_openai_b32,switch_count,614.0,613.0,-1.0
switch_counts,coco_openai_b32,delta_margin_improvement_count,532.0,532.0,0.0
switch_counts,coco_openai_b32,sign_repair_count,48.0,48.0,0.0
switch_counts,voc2007_openai_b16,switch_count,50.0,50.0,0.0
switch_counts,voc2007_openai_b16,delta_margin_improvement_count,46.0,46.0,0.0
switch_counts,voc2007_openai_b16,sign_repair_count,11.0,11.0,0.0
switch_counts,voc2007_openai_b32,switch_count,38.0,38.0,0.0
switch_counts,voc2007_openai_b32,delta_margin_improvement_count,35.0,35.0,0.0
switch_counts,voc2007_openai_b32,sign_repair_count,6.0,6.0,0.0
decomposition,coco_openai_b16,B,11410.0,11410.0,0.0
decomposition,coco_openai_b16,C0,10697.0,10697.0,0.0
decomposition,coco_openai_b16,C1,695.0,695.0,0.0
decomposition,coco_openai_b16,C2,0.0,0.0,0.0
decomposition,coco_openai_b16,r,18.0,18.0,0.0
decomposition,coco_openai_b16,j,12.0,12.0,0.0
decomposition,coco_openai_b32,B,11561.0,11562.0,1.0
decomposition,coco_openai_b32,C0,10655.0,10655.0,0.0
decomposition,coco_openai_b32,C1,875.0,876.0,1.0
decomposition,coco_openai_b32,C2,1.0,1.0,0.0
decomposition,coco_openai_b32,r,30.0,30.0,0.0
decomposition,coco_openai_b32,j,25.0,25.0,0.0
decomposition,voc2007_openai_b16,B,511.0,511.0,0.0
decomposition,voc2007_openai_b16,C0,371.0,371.0,0.0
decomposition,voc2007_openai_b16,C1,135.0,135.0,0.0
decomposition,voc2007_openai_b16,C2,0.0,0.0,0.0
decomposition,voc2007_openai_b16,r,5.0,5.0,0.0
decomposition,voc2007_openai_b16,j,3.0,3.0,0.0
decomposition,voc2007_openai_b32,B,505.0,504.0,-1.0
decomposition,voc2007_openai_b32,C0,347.0,347.0,0.0
decomposition,voc2007_openai_b32,C1,155.0,154.0,-1.0
decomposition,voc2007_openai_b32,C2,1.0,1.0,0.0
decomposition,voc2007_openai_b32,r,2.0,2.0,0.0
decomposition,voc2007_openai_b32,j,1.0,1.0,0.0
restricted_foil,coco_openai_b16,A/n,17726.0,17726.0,0.0
restricted_foil,coco_openai_b16,A/full_failure_count,11410.0,11410.0,0.0
restricted_foil,coco_openai_b16,A/annotation_absent_failure_count,11197.0,11197.0,0.0
restricted_foil,coco_openai_b16,A/Pr_F_full_given_subset,0.6436872390838316,0.6436872390838316,0.0
restricted_foil,coco_openai_b16,A/Pr_F_absent_given_subset,0.6316709917635113,0.6316709917635113,0.0
restricted_foil,coco_openai_b16,A/absent_minus_full,-0.0120162473203204,-0.0120162473203204,0.0
restricted_foil,coco_openai_b16,Aplus/n,16855.0,16855.0,0.0
restricted_foil,coco_openai_b16,Aplus/full_failure_count,10558.0,10558.0,0.0
restricted_foil,coco_openai_b16,Aplus/annotation_absent_failure_count,10346.0,10346.0,0.0
restricted_foil,coco_openai_b16,Aplus/Pr_F_full_given_subset,0.6264016612281222,0.6264016612281222,0.0
restricted_foil,coco_openai_b16,Aplus/Pr_F_absent_given_subset,0.6138237911598932,0.6138237911598932,0.0
restricted_foil,coco_openai_b16,Aplus/absent_minus_full,-0.012577870068229,-0.012577870068229,0.0
restricted_foil,coco_openai_b32,A/n,17847.0,17848.0,1.0
restricted_foil,coco_openai_b32,A/full_failure_count,11561.0,11562.0,1.0
restricted_foil,coco_openai_b32,A/annotation_absent_failure_count,11358.0,11359.0,1.0
restricted_foil,coco_openai_b32,A/Pr_F_full_given_subset,0.6477839412786462,0.6478036754818467,1.973420320044994e-05
restricted_foil,coco_openai_b32,A/Pr_F_absent_given_subset,0.6364094805849723,0.6364298520842672,2.037149929490223e-05
restricted_foil,coco_openai_b32,A/absent_minus_full,-0.011374460693674,-0.0113738233975795,6.372960944991263e-07
restricted_foil,coco_openai_b32,Aplus/n,17330.0,17331.0,1.0
restricted_foil,coco_openai_b32,Aplus/full_failure_count,11054.0,11055.0,1.0
restricted_foil,coco_openai_b32,Aplus/annotation_absent_failure_count,10851.0,10852.0,1.0
restricted_foil,coco_openai_b32,Aplus/Pr_F_full_given_subset,0.6378534333525678,0.637874329236628,2.089588406017917e-05
restricted_foil,coco_openai_b32,Aplus/Pr_F_absent_given_subset,0.6261396422388921,0.6261612140095782,2.1571770686179548e-05
restricted_foil,coco_openai_b32,Aplus/absent_minus_full,-0.0117137911136757,-0.0117131152270497,6.758866260003771e-07
restricted_foil,voc2007_openai_b16,A/n,1209.0,1209.0,0.0
restricted_foil,voc2007_openai_b16,A/full_failure_count,511.0,511.0,0.0
restricted_foil,voc2007_openai_b16,A/annotation_absent_failure_count,495.0,495.0,0.0
restricted_foil,voc2007_openai_b16,A/Pr_F_full_given_subset,0.4226633581472291,0.4226633581472291,0.0
restricted_foil,voc2007_openai_b16,A/Pr_F_absent_given_subset,0.4094292803970223,0.4094292803970223,0.0
restricted_foil,voc2007_openai_b16,A/absent_minus_full,-0.0132340777502067,-0.0132340777502067,0.0
restricted_foil,voc2007_openai_b16,Aplus/n,1186.0,1186.0,0.0
restricted_foil,voc2007_openai_b16,Aplus/full_failure_count,491.0,491.0,0.0
restricted_foil,voc2007_openai_b16,Aplus/annotation_absent_failure_count,475.0,475.0,0.0
restricted_foil,voc2007_openai_b16,Aplus/Pr_F_full_given_subset,0.4139966273187184,0.4139966273187184,0.0
restricted_foil,voc2007_openai_b16,Aplus/Pr_F_absent_given_subset,0.4005059021922428,0.4005059021922428,0.0
restricted_foil,voc2007_openai_b16,Aplus/absent_minus_full,-0.0134907251264755,-0.0134907251264755,0.0
restricted_foil,voc2007_openai_b32,A/n,1227.0,1227.0,0.0
restricted_foil,voc2007_openai_b32,A/full_failure_count,505.0,504.0,-1.0
restricted_foil,voc2007_openai_b32,A/annotation_absent_failure_count,488.0,487.0,-1.0
restricted_foil,voc2007_openai_b32,A/Pr_F_full_given_subset,0.4115729421352893,0.4107579462102689,-0.0008149959250203787
restricted_foil,voc2007_openai_b32,A/Pr_F_absent_given_subset,0.3977180114099429,0.3969030154849225,-0.0008149959250203787
restricted_foil,voc2007_openai_b32,A/absent_minus_full,-0.0138549307253463,-0.0138549307253463,0.0
restricted_foil,voc2007_openai_b32,Aplus/n,1215.0,1215.0,0.0
restricted_foil,voc2007_openai_b32,Aplus/full_failure_count,495.0,494.0,-1.0
restricted_foil,voc2007_openai_b32,Aplus/annotation_absent_failure_count,478.0,477.0,-1.0
restricted_foil,voc2007_openai_b32,Aplus/Pr_F_full_given_subset,0.4074074074074074,0.4065843621399177,-0.0008230452674896638
restricted_foil,voc2007_openai_b32,Aplus/Pr_F_absent_given_subset,0.3934156378600823,0.3925925925925926,-0.0008230452674897193
restricted_foil,voc2007_openai_b32,Aplus/absent_minus_full,-0.0139917695473251,-0.0139917695473251,0.0
